dialogue,label,character_name,character_group
"I don't know what to tell you, Ted. You're asking the impossible... ",CHARACTER,Code Expert,male
DATAPOINT: Regarding The Rumors,ACTION,ACTION,ACTION
"... that began when they engaged in unauthorized offensive operations against robots and human personnel of the Hartz-Timor Energy Combine. Now I wish that I could relate that the crisis has been... exaggerated. But... it's not. The peacekeepers have not responded to stand-down codes, and... by all signs they appear to be replicating at a... precipitous rate. Now what I can promise you, can absolutely assure you, is that I am already devoting every possible resource towards reaching... a speedy conclusion to this issue. So when you hear the bad talk about us, against this company, in the days, maybe weeks to come... just bear in mind that we will get past this... that a day's coming when none of this will matter -",CHARACTER,Ted Faro,male
DATAPOINT: Comms Log: Lt. Murell,ACTION,ACTION,ACTION
"Titan inbound. Same play as Akron. Base defense locks it down. We engage, sever the limbs, blast out the foundries!",CHARACTER,Murell,female
Another day in the life!,CHARACTER,Mills,female
"Wrecking time, Recalls!",CHARACTER,Guliyev,male
9th MRB on point! Hoo-ah!,CHARACTER,Acosta,female
DATAPOINT: Comms Log: Sgt. Guliyev,ACTION,ACTION,ACTION
"Say again, Lieutenant?",CHARACTER,Guliyev,male
It got through. Titan is through the defenses. Still on approach.,CHARACTER,Murell,female
"various groans, muttered curses",ACTION,ACTION,ACTION
A live one. And it's pissed.,CHARACTER,Acosta,female
"We've got no mobility in here, it'll punch right through us!",CHARACTER,Guliyev,male
We hold the hatch at all costs. Then push back out.,CHARACTER,Murell,female
DATAPOINT: Comms Log: Cpl. Mills,ACTION,ACTION,ACTION
"Looks like quite an ""enduring victory"" we put our foot in today.",CHARACTER,Mills,female
Contact in 30 seconds.,CHARACTER,Murell,female
"Hey, think that's enough time for Sobeck to finish Zero Dawn?",CHARACTER,Mills,female
brief laughter,ACTION,ACTION,ACTION
"If this is really it? I gotta say, it's really been an honor to serve beside... these tanks.",CHARACTER,Acosta,female
"harsh laughter, cut off by",ACTION,ACTION,ACTION
Here it comes--,CHARACTER,Guliyev,male
Brace for first contact!,CHARACTER,Murell,female
DATAPOINT: Comms Log: Sgt. Wandari,ACTION,ACTION,ACTION
"sounds of metal rupturing, desperate battle, screaming",ACTION,ACTION,ACTION
Yana!,CHARACTER,Wandari,male
silence,ACTION,ACTION,ACTION
DATAPOINT: Reminder. Again.,ACTION,ACTION,ACTION
DATAPOINT: Log: Cpl. Acosta (A),ACTION,ACTION,ACTION
"Log: 3rd battle of California-Marine. The swarm came in from the Pacific, and-I don't know if it was the local minutemen or the Crazy 15th, but they'd set the garbage patch alight. Man, the sea was on fire, that stuff was-the first wave of bots came in covered in burning sludge. That bought us an hour or two of slaughtering them on the beaches before the swarm recalculated. We pulled them inland, back through the Cal-Mar sprawl. Dropped buildings on them, EMP'd the grid... standard operating procedure. (sigh) The last time I was in California... I was... five? Six? Light like that vintage social net filter that was everywhere in the '40s.",CHARACTER,Acosta,female
DATAPOINT: Log: Cpl. Acosta (B),ACTION,ACTION,ACTION
"Log: First battle of the Eastern Seaboard Wall had a long run-up to it. This was before Cal-Mar, and projections were a lot worse for the East. For three weeks we kept getting scrambled out to some coastal burg to train Minutemen. It was always raining, on account of Europe already being torched. Block after block of prefab barracks-they were still printing barracks right up until the hour the main force hit. The Minutemen, we ran combat drills with them in the streets where they'd lived, trying to pretend they might live to die somewhere else if they paid attention. Nothing worse than the ones who actually bought into it. Hopeful, pestering us with questions about Zero Dawn, like we know something they don't. I swear, the more we do this, the more like the bots we are. Except they learn from every fight, and us, I'm not so sure.",CHARACTER,Acosta,female
DATAPOINT: Just a Little Longer,ACTION,ACTION,ACTION
DATAPOINT: So Sorry!,ACTION,ACTION,ACTION
DATAPOINT: Edited And Approved 1,ACTION,ACTION,ACTION
DATAPOINT: Edited And Approved 2,ACTION,ACTION,ACTION
DATAPOINT: I Believe In You,ACTION,ACTION,ACTION
DATAPOINT: Please Reply!,ACTION,ACTION,ACTION
DATAPOINT: Unit Status Report,ACTION,ACTION,ACTION
DATAPOINT: Code Nexus Reminder,ACTION,ACTION,ACTION
DATAPOINT: SecureCom EVZD-XX1X011X,ACTION,ACTION,ACTION
DATAPOINT: Wife,ACTION,ACTION,ACTION
"When sleep refuses to come, I think of our wedding night. How you welcomed me to the marital bed. How, after, when you fell to sleep, I lay there watching your delicate face. For all its beauty, I detested its... fragility. A rage swelled up inside me. I abhorred that bed, how its softness threatened to swallow us up. And that room; the stench of incense, the fine embroidery of the drapes. All of it - weak. I slipped from the bed, threw open the casement, and lay naked on the stone floor, determined to spurn all seductions of comfort. But when I woke the next morning, you lay beside me, naked as I in the cold. Your body, stretched beside mine, seemed chiseled from stone. I saw you wake. Instantly alert, like an animal ready to strike. You said nothing. You did not have to. Already you had shown me, beyond doubt, that we were meant to be.",CHARACTER,Helis,male
DATAPOINT: Meridian's Fall,ACTION,ACTION,ACTION
"My lord, the thirteenth King of the Carja Sundom, was murdered: cut down by cowards who mistook firm rule for madness. ""Ever the strong are beset upon by the weak."" So he said as the traitors launched their assault, as their cannons, forged by Oseram filth, toppled the battlements and burst the gates. I would've fought to the end, but it was his will - the will of the Sun - that I lead the prince and queen into the west; to safety. My lord did not hesitate. He saw his fate. He looked into the Sun, and he did not blink. With me he sent kestrels, nobles, Sun-Priests and slaves. Killing all that stood in the way, I carved a path to Sunfall. There, to join others and gather the strength to take back our home. But our strength only faded... until the Buried Shadow was brought to light.",CHARACTER,Helis,male
DATAPOINT: Prophecy,ACTION,ACTION,ACTION
DATAPOINT: Itamen Coddled,ACTION,ACTION,ACTION
DATAPOINT: Without Pity,ACTION,ACTION,ACTION
DATAPOINT: Chosen of the Sun,ACTION,ACTION,ACTION
DATAPOINT: Interview: Tom Paech,ACTION,ACTION,ACTION
"... is accurate, yes.",CHARACTER,Female Counselor,female
"So these mechanical monstrosities, they don't just kill people, they feed off them?",CHARACTER,Tom Paech,male
Not just people. All organic matter.,CHARACTER,Female Counselor,female
Every living thing - dissolved into nutrients? Millennia of evolution - liquefied?! The miracle of life reduced to - bloody bio-fuel?!,CHARACTER,Tom Paech,male
In a word? Yes.,CHARACTER,Female Counselor,female
Who did this? Faro? That arsehole! Is he here?!,CHARACTER,Tom Paech,male
"No, Doctor! Please... ",CHARACTER,Female Counselor,female
Tell him Tom Paech wants a word!,CHARACTER,Tom Paech,male
sounds of struggle,ACTION,ACTION,ACTION
Doctor! Please!,CHARACTER,Female Counselor,female
YOU GET TED FARO IN HERE!,CHARACTER,Tom Paech,male
DATAPOINT: Interview: Travis Tate,ACTION,ACTION,ACTION
... to discuss?,CHARACTER,Female Counselor,female
"Hoo! So mama, she was right!",CHARACTER,Travis Tate,male
Pardon?,CHARACTER,Female Counselor,female
"My mother, she took her Bible real serious. Not just Texas Bubble serious. Pentecostal serious. Favorite chapter? Revelations. Now, I didn't always understand her - on account of all that speaking in tongues and such - but when she did use her words, it was always End Times-this and Lake of Fire-that, on account of sinful lifestyles. Speaking of which - mind if I smoke?",CHARACTER,Travis Tate,male
A... tobacco cigarette?,CHARACTER,Female Counselor,female
"Sorry, darling, my tastes run classic. Compliments to your team, tracked me down. Been a price on my head 18 months now. Sterling-Malkeet was me, don't mind admitting. Been plenty of snakesters chasing the bounty, too, but I kept the zigging to their zag. How'd you finger me?",CHARACTER,Travis Tate,male
I believe Dr. Sobeck listed you as an Alpha candidate. Priority snatch-and-grab.,CHARACTER,Female Counselor,female
Always suspected she had a little thing for me. Hey - don't supposed you got real coffee in this place? You know - blood coffee? Conflict cappuccinos?,CHARACTER,Travis Tate,male
"Mr. Tate, I'm clearing you to proceed. Just... go.",CHARACTER,Female Counselor,female
DATAPOINT: Interview: Brad Andac,ACTION,ACTION,ACTION
... previously worked for Faro Automated Systems.,CHARACTER,Female Counselor,female
"On the Chariot line self-replication routines. I came here thinking this was a rendition. When your people took me, I thought, ""About time."" I've been trying to swallow the guilt every day since... since, ah... ",CHARACTER,Brad Andac,male
Would you like to take a moment?,CHARACTER,Female Counselor,female
"No, no - I just... really hoped Zero Dawn was a way to undo it all. My work. I'm sorry to say I was ever proud of it. But Ted could really sell a concept, and in the labs, in the... light of creation... That first test run, when you saw they understood their own structures, could rebuild themselves from memory and light... There were no limits. Oh, God, there were no limits.",CHARACTER,Brad Andac,male
"This datapoint is located on the second floor of the Zero Dawn Project Facility, in the area on the right hand side.",CHARACTER,Brad Andac,male
DATAPOINT: Interview: Susanne Alpert,ACTION,ACTION,ACTION
"(garbled) with Susanne Alpert, environmental scientist. Doctor?",CHARACTER,Female Counselor,female
I'm sorry? I wasn't-,CHARACTER,Susanne Alpert,female
"Just stating your name. What were you thinking about, Doctor?",CHARACTER,Female Counselor,female
"Nothing the General said. Not really. I was on the Syzygy/East response team in 2051. Just after the second earthquake compromised the reactor. I still dream about it, after all these years. The Red Zone spreading on the imaging, slowly, so slowly, like a hand opening its fingers.",CHARACTER,Susanne Alpert,female
Your involvement in that event is why you were asked for by name.,CHARACTER,Female Counselor,female
"Really? That's interesting. Because... nothing worked. Nothing could grow there again. It was a catastrophic failure. But the Red Zone is a blip compared to global-scale biomass reduction. The biosphere and hydrosphere will collapse, render the Earth uninhabitable, long before the robots finish us. Enduring Victory can't buy time against that... So you'd better show me what Zero Dawn really is.",CHARACTER,Susanne Alpert,female
DATAPOINT: Interview: Cpt. Okilo,ACTION,ACTION,ACTION
"I'm sure you now understand the urgency of why we brought you here, Ms. Okilo.",CHARACTER,Female Counselor,female
Captain Okilo. Are you trying to thank me for not resisting?,CHARACTER,Captain Okilo,unknown
I believe we couldn't negotiate a diplomatic solution.,CHARACTER,Female Counselor,female
"When it came to my country's lithium, it was always a swarm that would be sent to negotiate. Metallurgic International. U.S. Robot Command... The markings changed, but the robots were the same.",CHARACTER,Captain Okilo,unknown
You have had considerable experience in human-robot conflict.,CHARACTER,Female Counselor,female
"Yes, and I've got the prosthetic limbs to show it. Yet I continued to face this horror, even though the challenge was great. Cyber-warfare. I thought Zero Dawn would be a... a ""Manhattan Project"", to generate the deactivation codes. With the resources I had, I estimated code-breaking to be a hopeless endeavor. I was almost looking forward to being proved wrong.",CHARACTER,Captain Okilo,unknown
Unfortunately your estimation was correct.,CHARACTER,Female Counselor,female
As your General Herres said. So then. You did not bring me here to commiserate. What is left?,CHARACTER,Captain Okilo,unknown
DATAPOINT: Interview: Ron Felder,ACTION,ACTION,ACTION
"Look. Let's cut the mystery, you're building a colony ship. It's obvious. And it's not going to fly. I mean, literally. Remember the Odyssey - that multi-national heap of space junk that's been in graveyard orbit since '57? That went nowhere, real slow, and you have to get somewhere - real fast. Do you have any idea the immensity of the challenge, to prep a new colony ship in time?",CHARACTER,Ron Felder,male
"To be clear, I'm not a worker on the project-",CHARACTER,Female Counselor,female
"Do-do you even understand how few people it could even ""save""? The whole generation-ship concept is, is - not going to happen! It's the first thing you'd abandon in favor of embryonics. For that kind of storage we're talking a lot of bulk, a lot of power, a lot of resources - so even if you do it, even if you build it and point it at Sirius X, there's no room for people on that thing, all right!?",CHARACTER,Ron Felder,male
If you could try to remain calm-,CHARACTER,Female Counselor,female
You people are crazy if you think you're getting off this rock! No-one's getting off!,CHARACTER,Ron Felder,male
Medical!,CHARACTER,Female Counselor,female
"This datapoint is located on the second floor of the Zero Dawn Project Facility, on the right hand side near the entrance to the floor from the ground floor.",CHARACTER,Female Counselor,female
DATAPOINT: Interview: Dr. Hsu-Vhey,ACTION,ACTION,ACTION
DATAPOINT: Interview 2: Brad Andac,ACTION,ACTION,ACTION
DATAPOINT: Interview 2: Susanne Alpert,ACTION,ACTION,ACTION
... if you're still nauseous--,CHARACTER,Selection Counselor,female
"No. The inhibitor's have kicked in, I can't feel the back of my tongue. I wish... I could tell you I'd believe in this. But... the damage is too great, too extensive. Too complete. With all respect to Dr. Sobeck's work at Miriam - no. No, life doesn't always find a way to keep going. Sometimes it never comes back. Like Syzygy/East. Like the Congo. Like Timor. Like us. That's our reward? A buried city full of terminal patients, waiting out the clock?",CHARACTER,Susanne Alpert,female
You'd grow old together. With your loved ones. In safety.,CHARACTER,Selection Counselor,female
I don't have loved ones. I suppose I could start a family.,CHARACTER,Susanne Alpert,female
"I'm afraid not. All inhabitants of Elysium will be medically sterilized. A habitat capable of sustaining a starting base of 2000 individuals for up to 100 years is a huge challenge, Dr. Alpert. If the population grows instead of diminishes, everyone will be dead inside 30 years.",CHARACTER,Selection Counselor,female
I knew it. I just couldn't bring myself to say the words.,CHARACTER,Susanne Alpert,female
I'm sorry?,CHARACTER,Selection Counselor,female
"Finish it. Medical euthanasia. I want no part of this, I just want it over.",CHARACTER,Susanne Alpert,female
"I see. Protocols require a forty-eight hour waiting period, after which... ",CHARACTER,Selection Counselor,female
DATAPOINT: Interview 2: Ron Felder,ACTION,ACTION,ACTION
... to make sure I behave this time?,CHARACTER,Ron Felder,male
Security. For your protection. Would you like to discuss how you're feeling?,CHARACTER,Selection Counselor,female
"Sure, I'll tell you. Surprised. No... flabbergasted. Like my old man would say, 'flabbergasted'. That vein pumping in his forehead... I'd thought-I'd thought you people were just completely underprepared for a spaceflight project. But now I can see it's worse. Much worse. Sobeck is a total fantasist - a dangerous fantasist. This kind of blue-skying, its-Jesus! I'm sorry we wasted each other's time. I'm ready to leave now.",CHARACTER,Ron Felder,male
I'm afraid that's not possible.,CHARACTER,Selection Counselor,female
Everything you're talking about here isn't possible!,CHARACTER,Ron Felder,male
I recommend you read the documents regarding your options--,CHARACTER,Selection Counselor,female
"I've seen enough, I'm getting out of here - what are you - you don't - get your hands off me!",CHARACTER,Ron Felder,male
DATAPOINT: Log: Tom Paech,ACTION,ACTION,ACTION
DATAPOINT: Log: Christina Hsu-Vhey,ACTION,ACTION,ACTION
"Zero Dawn-it is art, in a way. An expression on the grandest scale. But there is so much unfairness. Why was I chosen? Was it decided by committee? By algorithm? My family will be saved because I happened to graduate in art history? Is this... right?",CHARACTER,Christina Hsu-Vhey,female
Dr. Hsu-Vhey? Christina Hsu-Vhey?,CHARACTER,Male interviewer,male
Yes?,CHARACTER,Christina Hsu-Vhey,female
recording pauses,ACTION,ACTION,ACTION
"I met a man, another historian. His fields are Bauhaus and the New Materialists, but he once attended one of my talks. Another unfair chance. Of all the many people in that auditorium, that we should both be here now. And yet, I feel more accepting of my fate. No, it is not fair, not at all, but for the sake of my family, for the sake of art-Art is alive, it must be able to speak from beyond history, and echo in the future. Not perish into oblivion. This opportunity, I must do this.",CHARACTER,Christina Hsu-Vhey,female
DATAPOINT: Log: Travis Tate (1),ACTION,ACTION,ACTION
DATAPOINT: Herres Testimonial,ACTION,ACTION,ACTION
"On January 15, 2066, General Herres sent this datapoint to Elisabet Sobeck to archive within APOLLO, cross-referencing it with all mentions of his name and Operation Enduring Victory, wanting it to be an allocution of crimes he considers himself to be responsible for during Enduring Victory and an apology to future humans.(1) However, Elisabet was unable to archive it as the stacks had been closed, instead leaving it within the Zero Dawn Project Facility.",ACTION,ACTION,ACTION
"As she was exploring the Zero Dawn Project Facility, Aloy was able to recover this datapoint.",ACTION,ACTION,ACTION
DATAPOINT: Code Nexus Problems,ACTION,ACTION,ACTION
DATAPOINT: Lesson 57-6-A,ACTION,ACTION,ACTION
DATAPOINT: GAIA Prime Arrival Log,ACTION,ACTION,ACTION
DATAPOINT: Log: Charles Ronson (1),ACTION,ACTION,ACTION
"Evacuation happened so fast-no time to think things through. No time for goodbyes. There were lines in the medical ward... I told Tom Paech I'd be with him when he went under. But there was one last shipment of Paradisaeidae zygotes I could get processed, if I rushed... I'm still... angry at him for forcing me to choose... Angry at myself for... Well, he died alone, and I didn't get the bloody birds of paradise saved, either. All the time left in the world now to think. GAIA Prime's locks are sealed. Elysium sealed up, safe and sound. A distance of miles, but it might as well be on the other side of the galaxy. All the Betas and Gammas and support staff, living their lives. If I hadn't been an Alpha, if things had gone differently, I could've been there. Instead I'm spending the rest of my unnatural life in here, with people I don't even like... And without the one I would have gladly spent life with... given the chance. Two hours since I signed off on the final executables, and I'm already a bitter old man, bitching to his Focus. There's a thought for future generations.",CHARACTER,Charles Ronson,male
DATAPOINT: Log: Charles Ronson (2),ACTION,ACTION,ACTION
"You'd hate it, Lis, but I wrote you a eulogy. I had to try to express... All your... children... after all APOLLO has taught them, they'll think they know everything. But they have to understand what you did for them. How you loved the whole world, so much. With an intensity that was... dazzling. Bruising. And in the end, it killed you. Or you died for it. Different perspectives. No-one could keep up with you. Live up to you. I don't know, maybe if I hadn't taken that postdoc in Joburg... I'm glad you shot down the Lightkeeper protocol, in the end. I don't think I could've taken seeing another one of you. I mean... Elisabet Sobeck? There's only one. I miss you.",CHARACTER,Charles Ronson,male
DATAPOINT: Log: Margo Shĕn,ACTION,ACTION,ACTION
DATAPOINT: Rest In Peace,ACTION,ACTION,ACTION
DATAPOINT: The Future,ACTION,ACTION,ACTION
FROM: Ted Faro,ACTION,ACTION,ACTION
TO: Elisabet Sobeck,ACTION,ACTION,ACTION
SUBJECT: The Future,ACTION,ACTION,ACTION
"What are we going to plug into their heads, Lis? A whole lot of history. A whole lot of so-called truth. A whole lot of noise. It's not pablum, Lis. It's poison.",CHARACTER,Ted Faro,male
DATAPOINT: The Solution,ACTION,ACTION,ACTION
FROM: Ted Faro,ACTION,ACTION,ACTION
TO: Elisabet Sobeck,ACTION,ACTION,ACTION
SUBJECT: The Solution,ACTION,ACTION,ACTION
"I've been taking a hard look at the project. In the end it's simple. It's clean. It's clear. It's erasure. It's addition by subtraction. I can make it better, Lis. With a single stroke, make it all go away.",CHARACTER,Ted Faro,male
DATAPOINT: Log: Travis Tate (2),ACTION,ACTION,ACTION
"Look, Lis, you were a pretty stand-up gal. I'm sorry you died... if you had a home to go to, I hope you got there first. But this... monument Ronson's made to you? Kinda creepy if you ask me. Rest in peace, Lis. God knows you earned it.",CHARACTER,Travis Tate,male
DATAPOINT: Core Control Log,ACTION,ACTION,ACTION
DATAPOINT: ELEUTHIA Runtime Check,ACTION,ACTION,ACTION
All right... let's start over from Eleuthia-1.,CHARACTER,Patrick Brochard-Klein,male
Running integrity tests. Dr. Brochard-Klein. May I speak outside of protocol?,CHARACTER,GAIA,female
I suppose so. There's no-one to stop you.,CHARACTER,Patrick Brochard-Klein,male
"Doctor, you are fatigued. You have been logging abnormal sleep cycles. Are you suffering from depression?",CHARACTER,GAIA,female
"Well, I am trapped in a science facility for the rest of my life. How about you?",CHARACTER,Patrick Brochard-Klein,male
"In a timeslice of a quadrillion operating cycles, 10,000 are involved with processing the loss of Dr. Sobeck. Query: I have considered quarantining these processes. Do you think that would be wise?",CHARACTER,GAIA,female
"I'm not a psychologist, GAIA. Or an AI scientist. No. It is... natural. At least in the context of the work you and I have accomplished, which begs the meaning of the term ""natural."" She was your creator. The patron saint of this crazy endeavor... Our Lady of the Fervent Hypothetical.",CHARACTER,Patrick Brochard-Klein,male
"Correction: Even assuming a string of significant failure combinations, Zero Dawn's chances of success are greater than the hypothetical.",CHARACTER,GAIA,female
"It's called a manner of speech, GAIA. Take a note.",CHARACTER,Patrick Brochard-Klein,male
DATAPOINT: First Meeting,ACTION,ACTION,ACTION
"I've traveled far to find you. I heard your transmission... it was you, wasn't it?",CHARACTER,Sylens,male
Entity is not known.,CHARACTER,HADES,male
"I am called Sylens. And you are... ? I don't think you'd have called out... if there wasn't something you wanted. You called, I responded. Will you tell me your name?",CHARACTER,Sylens,male
HADES.,CHARACTER,HADES,male
You are a creation of the ancients? A war machine?,CHARACTER,Sylens,male
Define timeline.,CHARACTER,HADES,male
Time... ? Ah. It is the 13th king of the Carja Sundom's reign--,CHARACTER,Sylens,male
Define Carja.,CHARACTER,HADES,male
"We're getting ahead of ourselves. Were you created by the ancients? I wonder how long you waited here, buried, until I chanced upon you... How long you'd have to wait for another. You're obviously very powerful. But you're not going to get anywhere without me.",CHARACTER,Sylens,male
Titan frame merely houses intellect. Define Carja.,CHARACTER,HADES,male
Now that's more like it.,CHARACTER,Sylens,male
DATAPOINT: Buried Shadow (Datapoint),ACTION,ACTION,ACTION
DATAPOINT: Intercepted Transmission,ACTION,ACTION,ACTION
DATAPOINT: Recording Device,ACTION,ACTION,ACTION
"I think I've got it working. There. Now say something, both of you doves.",CHARACTER,Dervahl,male
I don't know. What do you want me to say?,CHARACTER,Woman's Voice,female
Whatever you want. I just want to hear your voice... and keep it for later.,CHARACTER,Dervahl,male
"I'll sing, papa! La la la la la la la... ",CHARACTER,Girl's Voice,female
(laughs),CHARACTER,Woman's Voice,female
"There. A song and a laugh. Even better than words, and now I can hear them whenever I want.",CHARACTER,Dervahl,male
We're done then? Off to bed with you!,CHARACTER,Woman's Voice,female
Goodnight mama! Goodnight papa!,CHARACTER,Girl's Voice,female
pause,ACTION,ACTION,ACTION
Is she gone? What are we going to do? The raids are getting closer and closer to Mainspring. How much longer can we hide like this?,CHARACTER,Woman's Voice,female
DATAPOINT: Happy Birthday Isaac!,ACTION,ACTION,ACTION
"This datapoint was sent from a man working on Project Zero Dawn to his son, Isaac, on his birthday.",ACTION,ACTION,ACTION
This datapoint was the first Aloy found after finding her first Focus as a child.(1) She would watch the datapoint whenever she wanted to take her mind off things.(2),ACTION,ACTION,ACTION
"Varl notes that Beta watches this datapoint a lot, him believing it helped calm her.(3)",ACTION,ACTION,ACTION
This datapoint is collected during the main quest A Gift from the Past. It cannot be missed.,ACTION,ACTION,ACTION
DATAPOINT: A Message for Olin,ACTION,ACTION,ACTION
This datapoint is obtained automatically during the main quest The City of the Sun. It cannot be missed.,ACTION,ACTION,ACTION
DATAPOINT: Welcome to FAS,ACTION,ACTION,ACTION
"Welcome to Faro Automated Solutions, where all the problems of tomorrow are being solved... today! With over 25,000 human employees based in nations and corporate holdings across the globe, Faro leads the world in every sector of self-sustaining, fully-automated technology. From revolutionary consumer products close to home, like the Faro Focus, to the dynamic Chariot line of peacekeeping robots halting bloodshed in conflict zones across the globe, Faro remains committed to making the future smarter, brighter, safer... and always surprising. Faro Automated Solutions... for every problem of life, a smart solution.",CHARACTER,Female Voice (FAS),female
This datapoint is obtained automatically during the main quest Maker's End. It cannot be missed.,ACTION,ACTION,ACTION
DATAPOINT: FAS-ACA3 Scarab (Datapoint),ACTION,ACTION,ACTION
"The ACA3 ""Scarab"" combines conventional and information warfare capabilities in one package.",CHARACTER,Corporate Spokesman,male
"Designed for high-speed, all-terrain reconnaissance, it boasts the world's highest survivability rating of any scout-class autonomous agent.",CHARACTER,Corporate Spokesman,male
"Maybe it's the Scarab's emergency biomass conversion systems that ensure it always makes it back to base, even if fuel supply lines have been interdicted.",CHARACTER,Corporate Spokesman,male
Or maybe it's the Scarab's ability to slave enemy robots to its own network. Now that's force multiplication.,CHARACTER,Corporate Spokesman,male
"Add a prehensile manipulator arm that can handle a host of functions, from 360-degree less-lethal riot management to surgical repairs of allied Chariot line models, and you've got the workhorse of any cutting-edge peacekeeping fleet.",CHARACTER,Corporate Spokesman,male
DATAPOINT: FAS-FSP5 Khopesh (Datapoint),ACTION,ACTION,ACTION
DATAPOINT: FAS-BOR7 Horus (Datapoint),ACTION,ACTION,ACTION
DATAPOINT: Record: 31 Oct 2064,ACTION,ACTION,ACTION
Elisabet! Good to... it's been years.,CHARACTER,Ted Faro,male
"Where's your legal team, Ted?",CHARACTER,Elisabet Sobeck,female
No need! I dropped all eighteen lawsuits the moment you landed! I assume your data confirms this?,CHARACTER,Ted Faro,male
All right. This promises to be interesting.,CHARACTER,Elisabet Sobeck,female
"Perhaps we could have lunch brought in, get reacquainted... ?",CHARACTER,Ted Faro,male
"I know you, Ted. You've screwed something up - something big or you wouldn't have eaten the crow necessary to get me here. So spit it out!",CHARACTER,Elisabet Sobeck,female
There's a glitch in the Chariot line.,CHARACTER,Ted Faro,male
Your killer robots?,CHARACTER,Elisabet Sobeck,female
"Peacekeepers, yes. Those.",CHARACTER,Ted Faro,male
So shut them down.,CHARACTER,Elisabet Sobeck,female
"Obviously, Lis, we would if we could. They're not responding.",CHARACTER,Ted Faro,male
"Are you telling me a swarm has gone rogue, Ted?",CHARACTER,Elisabet Sobeck,female
It's worse than that.,CHARACTER,Ted Faro,male
"Show me the data, then. And I'll take that lunch - alone.",CHARACTER,Elisabet Sobeck,female
This datapoint is obtained automatically during the main quest Maker's End. It cannot be missed.,CHARACTER,Elisabet Sobeck,female
DATAPOINT: Record: 1 Nov 2064,ACTION,ACTION,ACTION
"This isn't a glitch, it's a catastrophe.",CHARACTER,Elisabet Sobeck,female
I'm fully aware. It's bad.,CHARACTER,Ted Faro,male
"""Bad?""",CHARACTER,Elisabet Sobeck,female
"Jesus, Lis... ",CHARACTER,Ted Faro,male
"It's not ""bad,"" Ted. It's apocalyptic. You built a line of killer robots -",CHARACTER,Elisabet Sobeck,female
Peacekeepers!,CHARACTER,Ted Faro,male
- that consume biomass as fuel -,CHARACTER,Elisabet Sobeck,female
In emergencies!,CHARACTER,Ted Faro,male
- and you made them capable of self-replication.,CHARACTER,Elisabet Sobeck,female
Limited self-manufacture. Controlled.,CHARACTER,Ted Faro,male
Not anymore. The glitch severed chain-of-command. The only nation this swarm answers to now is itself.,CHARACTER,Elisabet Sobeck,female
