dialogue,label,character_name,character_group
Why are they stopping?,CHARACTER,Lokir,male
Why do you think? End of the line. Let's go. Shouldn't keep the gods waiting for us.,CHARACTER,Ralof,male
No! Wait! We're not rebels!,CHARACTER,Lokir,male
"Face your death with some courage, thief.",CHARACTER,Ralof,male
"Under the Imperials' watchful eye, the prisoners start jumping out.",ACTION,ACTION,ACTION
You've got to tell them! We weren't with you! This is a mistake!,CHARACTER,Lokir,male
Step toward the block when we call your name. One at a time!,CHARACTER,Imperial Captain,female
Empire loves their damn lists.,CHARACTER,Ralof,male
Ulfric Stormcloak. Jarl of Windhelm.,CHARACTER,Hadvar,male
"It has been an honor, Jarl Ulfric!",CHARACTER,Ralof,male
Ralof of Riverwood. Lokir of Rorikstead.,CHARACTER,Hadvar,male
"No, I'm not a rebel! You can't do this!",CHARACTER,Lokir,male
He makes a break for it.,ACTION,ACTION,ACTION
Halt!,CHARACTER,Imperial Captain,female
You're not going to kill me!,CHARACTER,Lokir,male
Archers!,CHARACTER,Imperial Captain,female
Lokir is downed with one bowshot.,ACTION,ACTION,ACTION
Anyone else feel like running?,CHARACTER,Imperial Captain,female
"Wait, you there. Step forward. Who are you?",CHARACTER,Hadvar,male
"The player picks his/her character, prompting a race-related remark.",ACTION,ACTION,ACTION
"• You picked a bad time to come home to Skyrim, kinsman. • Not many wood elves would choose to come alone to Skyrim. • You from Daggerfall, Breton? Fleeing from some court intrigue? • You from one of the strongholds, Orc? How did you end up here? • Are you a relative of one of the Riften dock workers, Argonian? • Another refugee? Gods really have abandoned your people, dark elf. • You're a long way from the Imperial City. What're you doing in Skyrim? • What are you doing here, Redguard? You a sellsword? A sailor from Stros M'kai? • You with one of the trade caravans, Khajiit? Your kind always seems to find trouble. • You're not with the Thalmor Embassy, are you, high elf? No, that can't be right... Captain, what should we do? He's not on the list.",CHARACTER,Hadvar,male
Forget the list. He goes to the block.,CHARACTER,Imperial Captain,female
"By your orders, captain. • I'm sorry. At least you'll die here, in your homeland. • I'm sorry. We'll make sure your remains are returned to Elsweyr. • I'm sorry. We'll make sure your remains are returned to Cyrodiil. • I'm sorry. We'll make sure your remains are returned to Orsinium. • I'm sorry. We'll make sure your remains are returned to High Rock. • I'm sorry. We'll make sure your remains are returned to Morrowind. • I'm sorry. We'll make sure your remains are returned to Valenwood. • I'm sorry. We'll make sure your remains are returned to Hammerfell. • I'm sorry. We'll make sure your remains are returned to Black Marsh. • I'm sorry. We'll make sure your remains are returned to the Summerset Isle. Follow the Captain, prisoner.",CHARACTER,Hadvar,male
The player goes to stand with the other waiting prisoners by the block.,ACTION,ACTION,ACTION
"Ulfric Stormcloak. Some here in Helgen call you a hero, but a hero doesn't use a power like the Voice to murder his king and usurp his throne.",CHARACTER,Tullius,male
(grunting protest),CHARACTER,Ulfric,male
"You started this war, plunged Skyrim into chaos and now the Empire is going to put you down, and restore the peace.",CHARACTER,Tullius,male
A distant noise rings down the mountainside.,ACTION,ACTION,ACTION
What was that?,CHARACTER,Hadvar,male
It's nothing. Carry on.,CHARACTER,Tullius,male
"Yes, General Tullius. Give them their last rites.",CHARACTER,Imperial Captain,female
"As we commend your souls to Aetherius, blessings of the Eight Divines upon you, for you are the salt and earth of Nirn, our beloved--",CHARACTER,Priestess of Arkay,female
One of the prisoners from the lead wagon walks forward.,ACTION,ACTION,ACTION
"For the love of Talos, shut up and lets get this over with.",CHARACTER,Stormcloak Soldier (facing execution),male
As you wish...,CHARACTER,Priestess of Arkay,female
"Come on, I haven't got all morning. My ancestors are smiling at me, Imperials. Can you say the same?",CHARACTER,Stormcloak Soldier (facing execution),male
"They behead the Stormcloak, eliciting responses from the onlookers.",ACTION,ACTION,ACTION
You Imperial bastards!,CHARACTER,Stormcloak Soldier 2 (at execution),female
Justice!,CHARACTER,Vilod,male
Death to the Stormcloaks!,CHARACTER,Ingrid,female
As fearless in death as he was in life.,CHARACTER,Ralof,male
"• Next, the cat! • Next, the Orc! • Next, the lizard! • Next, the Breton! • Next, the Redguard! • Next, the dark elf! • Next, the high elf! • Next, the wood elf! • Next, the Nord in the rags! • Next, the renegade from Cyrodiil!",CHARACTER,Imperial Captain,female
"Another cry rings out on the mountainside, this time much closer.",ACTION,ACTION,ACTION
There it is again. Did you hear that?,CHARACTER,Hadvar,male
"I said, next prisoner!",CHARACTER,Imperial Captain,female
"To the block, prisoner. Nice and easy.",CHARACTER,Hadvar,male
"The player is brought to the chopping block. A large creature swoops over the southern peaks, barreling toward Helgen.",ACTION,ACTION,ACTION
What in Oblivion is that?,CHARACTER,Tullius,male
Sentries! What do you see?,CHARACTER,Imperial Captain,female
It's in the clouds!,CHARACTER,Imperial Soldier,male
"The creature, know seen as a dragon, lands on a tower, surprising everyone.",ACTION,ACTION,ACTION
Dragon!,CHARACTER,Stormcloak Soldier 2 (at execution),female
"The dragon uses its voice on the crowd, killing the headsman.",ACTION,ACTION,ACTION
Nngh!,CHARACTER,Headsman,male
"Don't just stand there, kill that thing! Guards, get the townspeople to safety!",CHARACTER,Tullius,male
"• Hey, Argonian. Get up! Come on, the gods won't give us another chance! • Hey, Breton. Get up! Come on, the gods won't give us another chance! • Hey, dark elf. Get up! Come on, the gods won't give us another chance! • Hey, high elf. Get up! Come on, the gods won't give us another chance! • Hey, you! Get up! Come on, the gods won't give us another chance! • Hey, Khajiit! Get up! Come on, the gods won't give us another chance! • Hey, kinsman. Get up! Come on, the gods won't give us another chance! • Hey, Orc! Get up! Come on, the gods won't give us another chance! • Hey, Redguard! Get up! Come on, the gods won't give us another chance! • Hey, wood elf! Get up! Come on, the gods won't give us another chance! This way!",CHARACTER,Ralof,male
Ralof leads the player to a tower where the other prisoners are hiding.,ACTION,ACTION,ACTION
Jarl Ulfric! What is that thing? Could the legends be true?,CHARACTER,Ralof,male
"Legends don't burn down villages. We need to move, now!",CHARACTER,Ulfric,male
"Up through the tower. Let's go! This way, friend! Move!",CHARACTER,Ralof,male
We just need to move some of these rocks to clear the way!,CHARACTER,Stormcloak Soldier (Tower),male
"The dragon, Alduin, breaks in through the wall, blasting fire everywhere.",ACTION,ACTION,ACTION
Get back!,CHARACTER,Ralof,male
"Toor shul! {""Inferno Sun""}",CHARACTER,Alduin,male
They survey the damage when the dragon leaves.,ACTION,ACTION,ACTION
See the inn on the other side? Jump through the roof and keep going! Go! We'll follow you when we can!,CHARACTER,Ralof,male
"The player proceeds alone, encountering the list-giver with some refugees.",ACTION,ACTION,ACTION
"Haming, you need to get over here now! Thataboy. You're doing great! Torolf! Gods...everyone get back!",CHARACTER,Hadvar,male
They survive a blast of fire breath.,ACTION,ACTION,ACTION
"Still alive, prisoner? Keep close to me if you want to stay that way. Gunnar, take care of the boy. I have to find General Tullius and join the defense.",CHARACTER,Hadvar,male
"Gods guide you, Hadvar.",CHARACTER,Gunnar,male
Stay close to the wall!,CHARACTER,Hadvar,male
They take cover as a dragon perches right above.,ACTION,ACTION,ACTION
"Vol toor shul! {""Horror Inferno Sun""}",CHARACTER,Alduin,male
"Quickly, follow me!",CHARACTER,Hadvar,male
They reach the main gate's carnage. Soldiers are firing arrows in vain.,ACTION,ACTION,ACTION
Tell my family I fought bravely!,CHARACTER,Vilod,male
"Hadvar! Into the keep, soldier, we're leaving!",CHARACTER,Tullius,male
"It's you and me, prisoner, stay close!",CHARACTER,Hadvar,male
"Die, dragon!",CHARACTER,Imperial Soldier,male
How in Oblivion do we kill this thing? Just...die!,CHARACTER,Imperial Soldier,male
"Near the keep, Ralof is seen.",ACTION,ACTION,ACTION
"Ralof! You damned traitor, out of my way!",CHARACTER,Hadvar,male
"We're escaping, Hadvar! You're not stopping us this time.",CHARACTER,Ralof,male
Fine. I hope that dragon takes you all to Sovngarde.,CHARACTER,Hadvar,male
"You, come on! Into the keep!",CHARACTER,Ralof,male
"With me, prisoner! Let's go! Come on! We need to get inside!",CHARACTER,Hadvar,male
"The player can pick who to follow from this point on, which determines the enemies to the chapter's end.",ACTION,ACTION,ACTION
IF YOU PICK HADVAR AS THE GUIDE IF YOU PICK HADVAR AS THE GUIDE,ACTION,ACTION,ACTION
"Looks like we're the only ones who made it. Was that really a dragon? The bringers of the End Times? We should keep moving. Come here. Let me see if I can get those bindings off. There you go. Take a look around, there should be plenty of gear to choose from. I'm going to see if I can find something for these burns. You better get that armor on. Give sword a few swings, too. Let's keep moving. That thing is still out there. Come on, this way.",CHARACTER,Hadvar,male
We need to get moving! That dragon is tearing up the whole keep!,CHARACTER,Stormcloak Soldier (escaping with Hadvar),male
Just give me a minute...I'm out of breath...,CHARACTER,Stormcloak Soldier 2 (escaping with Hadvar),female
"Hear that? Stormcloaks. Maybe we can reason with them. Hold on now, we only want to...",CHARACTER,Hadvar,male
They draw their weapons.,ACTION,ACTION,ACTION
"If you want to die, so be it.",CHARACTER,Hadvar,male
They kill the Stormcloaks.,ACTION,ACTION,ACTION
That's the end of that. Let's see if I can get that door open.,CHARACTER,Hadvar,male
"They go downstairs, just in time for a collapsing roof.",ACTION,ACTION,ACTION
"Look out! Damn, that dragon doesn't give up easy.",CHARACTER,Hadvar,male
What are you doing? We need to get out of Helgen now!,CHARACTER,Stormcloak (escaping with Hadvar),male
The Imperials have potions in here. We're going to need them.,CHARACTER,Stormcloak 2 (escaping with Hadvar),male
An old storeroom. See if you can find some potions. Might come in handy.,CHARACTER,Hadvar,male
Done then? This way!,CHARACTER,Hadvar,male
Downstairs is a torture room where the workers are fighting Stormcloaks.,ACTION,ACTION,ACTION
"A torture room. Gods, I wish we didn't need these...",CHARACTER,Hadvar,male
You fellows happened along just in time. These boys seemed quite upset at how I'd been entertaining their comrades.,CHARACTER,Torturer,male
Don't you even know what's going on? A dragon is attacking Helgen!,CHARACTER,Hadvar,male
"A dragon? Please. Don't make up nonsense...although, come to think of it, I did hear some odd noises coming from over there.",CHARACTER,Torturer,male
Come with us. We need to get out of here.,CHARACTER,Hadvar,male
"You have no authority over me, boy.",CHARACTER,Torturer,male
Didn't you hear me? I said the keep is under attack!,CHARACTER,Hadvar,male
Forget the old man. I'll come with you.,CHARACTER,Torturer's Assistant,male
"Wait a second, looks like there's something in this cage.",CHARACTER,Hadvar,male
Don't bother with that. Lost the key ages ago. Poor fellow screamed for weeks.,CHARACTER,Torturer,male
See if you can get it open with some picks. We'll need everything we can get.,CHARACTER,Hadvar,male
"Sure, take all my things. Please.",CHARACTER,Torturer,male
Grab what you can and let's go.,CHARACTER,Hadvar,male
"There's no way out that way, you know...",CHARACTER,Torturer,male
The player and his guide go further downstairs.,ACTION,ACTION,ACTION
"Alright, let's see if we can find a way out. Let's see where this goes.",CHARACTER,Hadvar,male
"They open a bridge into the tunnels, passing over before a rock breaks it.",ACTION,ACTION,ACTION
Damn it. No going back that way. I guess we're lucky that didn't come down on top of us. We better push on. I'm sure the others will find another way out.,CHARACTER,Hadvar,male
Following the stream leads to a dead end.,ACTION,ACTION,ACTION
"Hmm, that doesn't go anywhere. I guess we'd better try this way.",CHARACTER,Hadvar,male
They kill a den of spiders nearby.,ACTION,ACTION,ACTION
"What next, giant snakes?",CHARACTER,Hadvar,male
Nearby...,ACTION,ACTION,ACTION
"Hold up. There's a bear just ahead. See her? I'd rather not tangle with her right now. We might be able to sneak by. Just take it nice and slow, and watch where you step. Or if you're feeling lucky, you can take this bow. Might take her by surprise. Go ahead. I'll follow your lead and watch your back.",CHARACTER,Hadvar,male
At the exit...,ACTION,ACTION,ACTION
This looks like the way out! I was starting to wonder if we'd ever make it.,CHARACTER,Hadvar,male
The player finally makes it out into fresh air.,ACTION,ACTION,ACTION
Wait!,CHARACTER,Hadvar,male
Alduin flies away overhead.,ACTION,ACTION,ACTION
"Looks like he's gone for good this time. But I don't think we should stick around to see if he comes back. Closest town from here is Riverwood. My uncle's the blacksmith there. I'm sure he could help you out. It's probably best if we split up. Good luck. I wouldn't have made it without your help today. Listen, you should go to Solitude and join up with the Imperial Legion. We could really use someone like you. And if the rebels have themselves a dragon, General Tullius is the only one who can stop them.",CHARACTER,Hadvar,male
The two escapees set off down the road.,ACTION,ACTION,ACTION
IF YOU PICK RALOF AS YOUR GUIDE IF YOU PICK RALOF AS YOUR GUIDE,ACTION,ACTION,ACTION
"Upon entering the keep, Ralof goes to check on a fallen comrade.",ACTION,ACTION,ACTION
"We'll meet again in Sovngarde, brother. Looks like we're the only ones who made it. That thing was a dragon. No doubt. Just like the children's stories and the legends. The harbingers of the End Times. We better get moving. Come here, let me see if I can get those bindings off. There you go. May as well take Gunjar's gear...he won't be needing it anymore. Alright, get that armor on and give that axe a few swings. I'm going to see if I can find some way out of here. This one's locked. Let's see about that gate. Damn. No way to open this from our side.",CHARACTER,Ralof,male
"Come on, soldier! Keep moving!",CHARACTER,Imperial Captain,female
It's the Imperials! Take cover!,CHARACTER,Ralof,male
Get this gate open.,CHARACTER,Imperial Captain,female
Imperial dogs!,CHARACTER,Ralof,male
The captain and her associate are ambushed and killed.,ACTION,ACTION,ACTION
"Maybe one of these Imperials had the key. Let's see here... Here we are, found a key. Let's see if it opens that door. That's it! Come on, let's get out of here before the dragon brings the whole tower down on our heads.",CHARACTER,Ralof,male
"They go downstairs, almost getting trapped under the collapsing ceiling.",ACTION,ACTION,ACTION
"Look out! Damn, that dragon doesn't give up easy.",CHARACTER,Ralof,male
Grab everything important and let's move! The dragon is burning everything to the ground.,CHARACTER,Imperial Soldier,male
Just need to gather some more potions.,CHARACTER,Imperial Soldier 2,male
Ralof and his cohort kill the next guards.,ACTION,ACTION,ACTION
A storeroom. See if you can find any potions. We'll need them. Done? Let's get moving.,CHARACTER,Ralof,male
"They go downstairs to the torture room, where Stormcloaks are fighting.",ACTION,ACTION,ACTION
Troll's blood! It's a torture room. Hear that?,CHARACTER,Ralof,male
They kill the torturers.,ACTION,ACTION,ACTION
Is Jarl Ulfric with you?,CHARACTER,Ralof,male
"No, I haven't seen him since the dragon showed up.",CHARACTER,Stormcloak Soldier (blonde),female
Wait a second. Looks like there's something in this cage. It's locked. See if you can get it open with some picks. We might need that gold once we get out. Grab anything useful and let's go.,CHARACTER,Ralof,male
Downstairs are more soldiers.,ACTION,ACTION,ACTION
The orders are to wait until General Tullius arrives.,CHARACTER,Imperial Soldier,male
I'm not waiting to be killed by a dragon!,CHARACTER,Imperial Soldier 2,male
Afterwards...,ACTION,ACTION,ACTION
Let's go on ahead. See if the way is clear. Let's see where this goes.,CHARACTER,Ralof,male
"They cross a bridge, narrowly avoiding a falling rock.",ACTION,ACTION,ACTION
"No going back that way, now. We'd better push on. The rest of them will have to find another way out.",CHARACTER,Ralof,male
They follow a stream to a dead end.,ACTION,ACTION,ACTION
"Hmm, that doesn't go anywhere. I guess we'd better try this way.",CHARACTER,Ralof,male
They dispatch some frostbite spiders.,ACTION,ACTION,ACTION
"I hate those damn things. Too many eyes, you know?",CHARACTER,Ralof,male
They come upon a sleeping bear.,ACTION,ACTION,ACTION
"Hold up. There's a bear just ahead. See her? I'd rather no tangle with her right now. Let's try to sneak by. Just take it nice and slow, and watch where you step. Or if you're feeling lucky, you can take this bow. Might take her by surprise. Go ahead. I'll follow your lead and watch your back.",CHARACTER,Ralof,male
They finally reach the exit.,ACTION,ACTION,ACTION
That looks like the way out! I knew we'd make it!,CHARACTER,Ralof,male
They watch as Alduin flies overhead and away.,ACTION,ACTION,ACTION
"Wait! There he goes. Looks like he's gone for good this time. No way to know if anyone else made it out alive. But this place is going to be swarming with Imperials soon enough. We'd better clear out of here. My sister Gerdur runs the mill in Riverwood, just up the road. I'm sure she'd help you out. It's probably best if we split up. Good luck. I wouldn't have made it without your help today. You know, you should go to Windhelm and join the fight for free Skyrim. You've seen the true face of the Empire here today. If anyone will know what the coming of the dragon means, it's Ulfric.",CHARACTER,Ralof,male
"The escapees flee Helgen, heading to the river.",ACTION,ACTION,ACTION
"If the player follows Ralof/Hadvar, they'll make conversation en route, even stopping at the Standing Stones along the path.",ACTION,ACTION,ACTION
IF YOU PICK RALOF AS YOUR GUIDE IF YOU PICK RALOF AS YOUR GUIDE,ACTION,ACTION,ACTION
"See that ruin up there? Bleak Falls Barrow. I never understood how my sister could stand living in the shadow of that place. I guess you get used to it. These are the Guardian Stones, three of the thirteen ancient standing stones that dot Skyrim's landscape. Go ahead, see for yourself. • Mage, eh? Well, to each his own. It's not for me to judge. • Warrior, good! Those stars will guide you to honor and glory. • Thief, eh? It's never too late to take charge of your own fate, you know. Remember, this isn't Stormcloak territory. If we're ahead of the news from Helgen, we should be fine as long as we don't do anything stupid. If we run into any Imperials, just let me do the talking, alright? I'm glad you decided to come with me. We're almost to Riverwood.",CHARACTER,Ralof,male
They enter the sleepy village of Riverwood.,ACTION,ACTION,ACTION
Looks like nobody here knows what happened yet. Come on. Gerdur's probably working in her lumber mill.,CHARACTER,Ralof,male
They find the sister nearby.,ACTION,ACTION,ACTION
Gerdur!,CHARACTER,Ralof,male
"Brother! Mara's mercy, it's good to see you!",CHARACTER,Gerdur,female
Gerdur...,CHARACTER,Ralof,male
But is it safe for you to be here? We heard that Ulfric had been captured...,CHARACTER,Gerdur,female
"Gerdur, I'm fine. At least now I am.",CHARACTER,Ralof,male
Are you hurt? What's happened? And who's this? One of your comrades?,CHARACTER,Gerdur,female
"Not a comrade yet, but a friend. I owe him my life, in fact. Is there somewhere we can talk? There's no telling when the news from Helgen will reach the Imperials...",CHARACTER,Ralof,male
Helgen? Has something happened...? You're right. Follow me. Hod! Come here a minute. I need your help with something.,CHARACTER,Gerdur,female
"What is it, woman? Sven drunk on the job again?",CHARACTER,Hod,male
"Hod, just come here.",CHARACTER,Gerdur,female
Ralof! What are you doing here? Ahh...I'll be right down.,CHARACTER,Hod,male
They go sit by the river.,ACTION,ACTION,ACTION
Uncle Ralof! Can I see your axe? How many Imperials have you killed? Do you really know Ulfric Stormcloak?,CHARACTER,Frodnar,male
"Hush, Frodnar. This is no time for your games. Go and watch the south road. Come find us if you see any Imperial soldiers coming.",CHARACTER,Gerdur,female
"Aw, mama, I wanna stay and talk with Uncle Ralof!",CHARACTER,Frodnar,male
"Look at you, almost a grown man! Won't be very long before you'll be joining the fight yourself.",CHARACTER,Ralof,male
"That's right! Don't worry, Uncle Ralof, I won't let those soldiers sneak up on you.",CHARACTER,Frodnar,male
Frodnar walks off.,ACTION,ACTION,ACTION
"Now, Ralof, what's going on? You two look pretty well done in.",CHARACTER,Hod,male
"I can't remember when I last slept... Where to start? Well, the news you heard about Ulfric was true. The Imperials ambushed us outside Darkwater Crossing. Like they knew exactly where we'd be...that was two days ago, now. We stopped in Helgen this morning, and I thought it was all over. Had us lined up to the headsman's block and ready to start chopping.",CHARACTER,Ralof,male
The cowards!,CHARACTER,Gerdur,female
"They wouldn't dare give Ulfric a fair trial. Treason, for fighting for your own people! All of Skyrim would've seen the truth then. But then, out of nowhere...a dragon attacked!",CHARACTER,Ralof,male
"You don't mean a real, live...",CHARACTER,Gerdur,female
"I can hardly believe it myself, and I was there. As strange as it sounds, we'd be dead if not for that dragon. In the confusion, we managed to slip away. Are we really the first to make it to Riverwood?",CHARACTER,Ralof,male
"Nobody else has come up the south road today, as far as I know.",CHARACTER,Gerdur,female
"Good. Maybe we can lay up for a while. I hate to put your family in danger, Gerdur, but...",CHARACTER,Ralof,male
"Nonsense. You and your friend are welcome to stay here as long as you need to. Let me worry about the Imperials. Any friend of Ralof's is a friend of mine. Here's a key to the house. Stay as long as you like. If there's anything else you need, just let me know. There's something you can do for me. For all of us here. The Jarl needs to know if there's a dragon on the loose. Riverwood is defenseless... We need to get word to Jarl Balgruuf in Whiterun to send whatever soldiers he can. If you'll do that for me, I'll be in your debt.",CHARACTER,Gerdur,female
"Thanks, sister. I knew I could count on you.",CHARACTER,Ralof,male
"I ought to get back to work before I'm missed, but...did anyone else escape? Did Ulfric...",CHARACTER,Gerdur,female
"Don't worry, I'm sure he made it out. It would take more than a dragon to stop Ulfric Stormcloak.",CHARACTER,Ralof,male
"I'll let them into the house, and, you know, show them where everything is.",CHARACTER,Hod,male
"Hmph, help them drink up our mead, you mean... Good luck, brother. I'll see you later.",CHARACTER,Gerdur,female
Don't worry about me. I know how to lay low.,CHARACTER,Ralof,male
The sister and her husband walk off.,ACTION,ACTION,ACTION
IF YOU PICK HADVAR AS THE GUIDE IF YOU PICK HADVAR AS THE GUIDE,ACTION,ACTION,ACTION
"See that ruin up there? Bleak Falls Barrow. When I was a boy, that place always used to give me nightmares. Draugr creeping down the mountain to climb through my window at night, that kind of thing. I admit, I still don't much like the look of it. These are the Guardian Stones, three of the thirteen ancient standing stones that dot Skyrim's landscape. Go ahead, see for yourself. • Mage, eh? Well, to each his own. It's not for me to judge. • Thief, eh? It's never too late to take charge of your own fate, you know. • Warrior, good! I knew you shouldn't have been in that cart the minute I laid eyes on you. Listen, as far as I'm concerned, you've already earned your pardon. But until we get that confirmed by General Tullius, just stay clear of other Imperial soldiers and avoid any complications, all right? I'm glad you decided to come with me. We're almost to Riverwood.",CHARACTER,Hadvar,male
Riverwood is finally reached.,ACTION,ACTION,ACTION
"Things look quiet enough here. Come on, there's my uncle. Uncle Alvor! Hello!",CHARACTER,Hadvar,male
"Hadvar? What are you doing here? Are you on leave from... Shor's bones, what happened to you, boy? Are you in some kind of trouble?",CHARACTER,Alvor,male
"Shh, uncle. Keep your voice down. I'm fine, but we should go inside to talk.",CHARACTER,Hadvar,male
What's going on? And who's this?,CHARACTER,Alvor,male
"He's a friend. Saved my life in fact. Come on, I'll explain everything, but we need to go inside.",CHARACTER,Hadvar,male
"Okay, okay. Come inside, then. Sigrid will get you something to eat and you can tell me all about it.",CHARACTER,Alvor,male
They go inside.,ACTION,ACTION,ACTION
Sigrid! We have company!,CHARACTER,Alvor,male
"Hadvar! We've been so worried about you! Come, you two must be hungry. Sit down and I'll get you something to eat.",CHARACTER,Sigrid,female
"Now, then, boy. What's the big mystery? What were you doing, looking like you lost an argument with a cave bear?",CHARACTER,Alvor,male
I don't know where to start. I was assigned to General Tullius's guard. We were stopped in Helgen when we were attacked...by a dragon.,CHARACTER,Hadvar,male
"A dragon? That's...ridiculous. You aren't drunk, are you, boy?",CHARACTER,Alvor,male
"Husband, let him tell his story.",CHARACTER,Sigrid,female
"Not much more to tell. This dragon flew over and just wrecked the whole place. Mass confusion. I don't know if anyone else got out alive. I doubt I'd have made it out if not for my friend here. I need to get back to Solitude and let them know what's happened. I thought you could help us out. Food, supplies, a place to stay.",CHARACTER,Hadvar,male
"Of course! Any friend of Hadvar's is a friend of mine. I'm glad to help in any way I can. Like I said, I'm glad to help. But I need your help. We need your help. The Jarl needs to know there's a dragon on the loose. Riverwood is defenseless... We need to get word to Jarl Balgruuf in Whiterun to send whatever soldiers he can. If you'll do that for me, I'll be in your debt.",CHARACTER,Alvor,male
"Hadvar, did you really see a dragon? What did it look like? Did it have big teeth?",CHARACTER,Dorthe,female
"Hush, child. Don't pester your cousin.",CHARACTER,Sigrid,female
"Well, I better get back to work. You two can make yourselves at home.",CHARACTER,Alvor,male
"It's nice to be back in a friendly spot, huh? Listen, I'm going to lay up here for awhile. You can make your own way to Solitude from here. I recommend heading to Whiterun, just down the road from here. From there you can take a carriage to Solitude.",CHARACTER,Hadvar,male
RALOF/HADVAR SPLIT PATHS REUNITE HERE RALOF/HADVAR SPLIT PATHS REUNITE HERE,ACTION,ACTION,ACTION
The prisoner reaches Whiterun's gates.,ACTION,ACTION,ACTION
Halt! City's closed with dragons about. Official business only.,CHARACTER,Whiterun Gate Guard,male
Riverwood calls for the Jarl's aid.,CHARACTER,Dragonborn,playerChoice
"Riverwood's in danger, too? You better go on in. You'll find the Jarl at Dragonsreach, atop the hill.",CHARACTER,Whiterun Gate Guard,male
I have news from Helgen about the dragon attack. (Persuade),CHARACTER,Dragonborn,playerChoice
"Fine, but we'll be keeping an eye on you.",CHARACTER,Whiterun Gate Guard,male
Will this change your mind? ( gold),CHARACTER,Dragonborn,playerChoice
"Welcome to Whiterun, friend. Go right in.",CHARACTER,Whiterun Gate Guard,male
"Stand aside, or else. (Intimidate)",CHARACTER,Dragonborn,playerChoice
Or else what? You think you can stand against the entire Whiterun city guard? The gate's closed.,CHARACTER,Whiterun Gate Guard,male
I'll come back later.,CHARACTER,Dragonborn,playerChoice
Safe travels.,CHARACTER,Whiterun Gate Guard,male
"At the Dragonsreach castle, the prisoner approaches Balgruuf, already talking with his advisors.",ACTION,ACTION,ACTION
I only council caution. We cannot afford to act rashly in times like these.,CHARACTER,Proventus,male
"What would you have me do, then? Nothing?",CHARACTER,Balgruuf,male
"My lord, please. This is no time for rash action. I just think we need more action before we act. I just...",CHARACTER,Proventus,male
"Who's this, then?",CHARACTER,Balgruuf,male
His housecarl approaches.,ACTION,ACTION,ACTION
What's the meaning of this interruption? Jarl Balgruuf is not receiving any visitors.,CHARACTER,Irileth,female
I have news from Helgen. About the dragon attack.,CHARACTER,Dragonborn,playerChoice
"Well, that explains why the guards let you in. Come on then, the Jarl will want to speak to you personally. Alvor sent me. Riverwood is in danger.",CHARACTER,Irileth,female
Gerdur sent me. Riverwood is in danger.,CHARACTER,Dragonborn,playerChoice
"As Housecarl, my job is to deal with all dangers that Jarl or his people. So, you have my attention. Now, explain yourself.",CHARACTER,Irileth,female
A dragon has destroyed Helgen.,CHARACTER,Dragonborn,playerChoice
You know about Helgen? The Jarl will want to speak with you personally. Approach.,CHARACTER,Irileth,female
I was told to give the message directly to the Jarl.,CHARACTER,Dragonborn,playerChoice
