dialogue,label,character_name,character_group
Nothing left here.,CHARACTER,Zagreus,male
Need to press on.,CHARACTER,Zagreus,male
Took a bite out of me there.,CHARACTER,Zagreus,male
Nearly got me.,CHARACTER,Zagreus,male
Uh that hurt.,CHARACTER,Zagreus,male
Almost had me.,CHARACTER,Zagreus,male
Barely made it.,CHARACTER,Zagreus,male
Barely got through.,CHARACTER,Zagreus,male
Unghh...,CHARACTER,Zagreus,male
That's better.,CHARACTER,Zagreus,male
Hmm.,CHARACTER,Zagreus,male
Good.,CHARACTER,Zagreus,male
That's a relief.,CHARACTER,Zagreus,male
Much better.,CHARACTER,Zagreus,male
Mmph.,CHARACTER,Zagreus,male
Whew...,CHARACTER,Zagreus,male
Mmm.,CHARACTER,Zagreus,male
Mm-hmm.,CHARACTER,Zagreus,male
Hit the spot.,CHARACTER,Zagreus,male
Yum.,CHARACTER,Zagreus,male
Five-second rule. That was five seconds right?,CHARACTER,Zagreus,male
I'm rich!,CHARACTER,Zagreus,male
I bet Charon's going to want all this.,CHARACTER,Zagreus,male
Nice.,CHARACTER,Zagreus,male
Excellent.,CHARACTER,Zagreus,male
Good enough.,CHARACTER,Zagreus,male
I'll take it.,CHARACTER,Zagreus,male
I'm rich!,CHARACTER,Zagreus,male
Vast riches.,CHARACTER,Zagreus,male
Coin for Charon.,CHARACTER,Zagreus,male
Should fetch me something.,CHARACTER,Zagreus,male
I'll just take that.,CHARACTER,Zagreus,male
Father won't miss a couple coins.,CHARACTER,Zagreus,male
Shiny.,CHARACTER,Zagreus,male
Special rate!,CHARACTER,Zagreus,male
What a deal!,CHARACTER,Zagreus,male
Great price!,CHARACTER,Zagreus,male
What a steal!,CHARACTER,Zagreus,male
What a steal! Borrow!,CHARACTER,Zagreus,male
Sale price!,CHARACTER,Zagreus,male
Membership has its perks!,CHARACTER,Zagreus,male
Cheers for the discount.,CHARACTER,Zagreus,male
What do I get?,CHARACTER,Zagreus,male
"Thank you, mate.",CHARACTER,Zagreus,male
"Always a pleasure, Charon.",CHARACTER,Zagreus,male
"Don't spend it all in one place, mate.",CHARACTER,Zagreus,male
Pleasure doing business.,CHARACTER,Zagreus,male
Should come in useful.,CHARACTER,Zagreus,male
I could use this.,CHARACTER,Zagreus,male
"Cheers, mate.",CHARACTER,Zagreus,male
I'll take it.,CHARACTER,Zagreus,male
Why not.,CHARACTER,Zagreus,male
Here's the fee.,CHARACTER,Zagreus,male
Just what I need.,CHARACTER,Zagreus,male
Should be useful.,CHARACTER,Zagreus,male
I'll pay for that.,CHARACTER,Zagreus,male
Should help keep me going.,CHARACTER,Zagreus,male
I'll take this one.,CHARACTER,Zagreus,male
Should come in useful.,CHARACTER,Zagreus,male
I could use this.,CHARACTER,Zagreus,male
I'll take it.,CHARACTER,Zagreus,male
Why not.,CHARACTER,Zagreus,male
Just what I need.,CHARACTER,Zagreus,male
Should be useful.,CHARACTER,Zagreus,male
I'll just take this one.,CHARACTER,Zagreus,male
"Coin goes in, that comes out.",CHARACTER,Zagreus,male
I'll pay for that.,CHARACTER,Zagreus,male
Should help keep me going.,CHARACTER,Zagreus,male
Payment in full.,CHARACTER,Zagreus,male
I'll take this one.,CHARACTER,Zagreus,male
Bought.,CHARACTER,Zagreus,male
I'll take that.,CHARACTER,Zagreus,male
Should be handy.,CHARACTER,Zagreus,male
"Here, then.",CHARACTER,Zagreus,male
This one.,CHARACTER,Zagreus,male
That one.,CHARACTER,Zagreus,male
Gimme.,CHARACTER,Zagreus,male
Looks handy.,CHARACTER,Zagreus,male
Worth it.,CHARACTER,Zagreus,male
Sold.,CHARACTER,Zagreus,male
This ought to help for sure.,CHARACTER,Zagreus,male
Worth it.,CHARACTER,Zagreus,male
"Mm, got stronger there.",CHARACTER,Zagreus,male
Tart and tasty!,CHARACTER,Zagreus,male
Boosted a Boon.,CHARACTER,Zagreus,male
One of my Boons got stronger.,CHARACTER,Zagreus,male
Always hits the spot.,CHARACTER,Zagreus,male
"That Boon got better, huh.",CHARACTER,Zagreus,male
Give me a better Boon.,CHARACTER,Zagreus,male
Which Boon's it going to be.,CHARACTER,Zagreus,male
"Let's mix things up, Daedalus.",CHARACTER,Zagreus,male
What's it going to be?,CHARACTER,Zagreus,male
Time to mess with my weapon.,CHARACTER,Zagreus,male
"Hit me, Daedalus.",CHARACTER,Zagreus,male
Random enchantments.,CHARACTER,Zagreus,male
"Surprise me, Daedalus.",CHARACTER,Zagreus,male
Let's take our chances then.,CHARACTER,Zagreus,male
The old Daedalus Surprise.,CHARACTER,Zagreus,male
Ow! Money.,CHARACTER,Zagreus,male
"Augh, I'm rich!",CHARACTER,Zagreus,male
"Aah, wealth!",CHARACTER,Zagreus,male
"Oof, extra coin!",CHARACTER,Zagreus,male
"Urgh! More obols, more suffering.",CHARACTER,Zagreus,male
Here's the Darkness.,CHARACTER,Zagreus,male
Here's your Darkness.,CHARACTER,Zagreus,male
I'll take some Darkness.,CHARACTER,Zagreus,male
"Darkness, please.",CHARACTER,Zagreus,male
Could use some Darkness.,CHARACTER,Zagreus,male
Not enough Darkness.,CHARACTER,Zagreus,male
Don't have enough Darkness.,CHARACTER,Zagreus,male
I need more Darkness for that.,CHARACTER,Zagreus,male
I don't have the Darkness.,CHARACTER,Zagreus,male
Need more Darkness.,CHARACTER,Zagreus,male
Here's the Keys.,CHARACTER,Zagreus,male
Here are your Keys.,CHARACTER,Zagreus,male
Could always use more Keys.,CHARACTER,Zagreus,male
More Keys for me.,CHARACTER,Zagreus,male
Chthonic Keys.,CHARACTER,Zagreus,male
Extra Keys.,CHARACTER,Zagreus,male
Need more of those keys.,CHARACTER,Zagreus,male
Don't have enough keys.,CHARACTER,Zagreus,male
Need more keys.,CHARACTER,Zagreus,male
I lack the necessary keys.,CHARACTER,Zagreus,male
I need to track down more Chthonic Keys.,CHARACTER,Zagreus,male
I don't have enough Chthonic Keys...,CHARACTER,Zagreus,male
I need more Chthonic Keys for this.,CHARACTER,Zagreus,male
Here's the Nectar.,CHARACTER,Zagreus,male
Here's your Nectar.,CHARACTER,Zagreus,male
I'll take the Nectar.,CHARACTER,Zagreus,male
I'll have that Nectar.,CHARACTER,Zagreus,male
Let's have that Nectar.,CHARACTER,Zagreus,male
Let's see that Nectar.,CHARACTER,Zagreus,male
Need some more Nectar.,CHARACTER,Zagreus,male
Don't have enough Nectar for this.,CHARACTER,Zagreus,male
Not enough Nectar.,CHARACTER,Zagreus,male
Need more Nectar.,CHARACTER,Zagreus,male
Here's the Gemstones.,CHARACTER,Zagreus,male
"Here's the Gemstones, then.",CHARACTER,Zagreus,male
Trade you these Gemstones.,CHARACTER,Zagreus,male
Here are the gems.,CHARACTER,Zagreus,male
I'll take the Gemstones.,CHARACTER,Zagreus,male
I'll have the Gemstones.,CHARACTER,Zagreus,male
"Gemstones, please.",CHARACTER,Zagreus,male
Go with the Gemstones.,CHARACTER,Zagreus,male
Not enough Gemstones.,CHARACTER,Zagreus,male
Don't have enough Gemstones.,CHARACTER,Zagreus,male
Need more Gemstones for that.,CHARACTER,Zagreus,male
I need more Gemstones.,CHARACTER,Zagreus,male
I'm short of Gemstones.,CHARACTER,Zagreus,male
Your Diamonds.,CHARACTER,Zagreus,male
Here's the Diamonds.,CHARACTER,Zagreus,male
These are your Diamonds.,CHARACTER,Zagreus,male
I'll have a Diamond.,CHARACTER,Zagreus,male
Could use that Diamond.,CHARACTER,Zagreus,male
I'll take that Diamond.,CHARACTER,Zagreus,male
"The Diamond, please.",CHARACTER,Zagreus,male
Not enough Diamonds.,CHARACTER,Zagreus,male
Don't have enough Diamonds.,CHARACTER,Zagreus,male
I need more Diamonds.,CHARACTER,Zagreus,male
I'm short of Diamonds.,CHARACTER,Zagreus,male
Here's payment in Blood.,CHARACTER,Zagreus,male
Trade you this Titan Blood.,CHARACTER,Zagreus,male
"Here's Titan Blood, then.",CHARACTER,Zagreus,male
I need the Titan Blood.,CHARACTER,Zagreus,male
Give me the Titan Blood.,CHARACTER,Zagreus,male
Could use that Titan Blood.,CHARACTER,Zagreus,male
I'll buy the Titan Blood.,CHARACTER,Zagreus,male
It's sealed shut.,CHARACTER,Zagreus,male
Locked.,CHARACTER,Zagreus,male
It's locked.,CHARACTER,Zagreus,male
Hmm.,CHARACTER,Zagreus,male
Not enough Titan Blood.,CHARACTER,Zagreus,male
I need more Titan Blood.,CHARACTER,Zagreus,male
I'm lacking Titan Blood.,CHARACTER,Zagreus,male
Don't have the Titan Blood.,CHARACTER,Zagreus,male
"All right, then, keep your secrets...",CHARACTER,Zagreus,male
Not enough Titan Blood.,CHARACTER,Zagreus,male
I need more Titan Blood.,CHARACTER,Zagreus,male
I'm lacking Titan Blood.,CHARACTER,Zagreus,male
Don't have the Titan Blood.,CHARACTER,Zagreus,male
"All right, then, keep your secrets...",CHARACTER,DROPPED_Zagreus,droppedMale
Here's the Ambrosia.,CHARACTER,Zagreus,male
This Ambrosia ought to pay for that.,CHARACTER,Zagreus,male
"One Ambrosia bottle, please.",CHARACTER,Zagreus,male
I'll take the Ambrosia.,CHARACTER,Zagreus,male
"Ambrosia, then, why not.",CHARACTER,Zagreus,male
Give me your finest bottle.,CHARACTER,Zagreus,male
Need more Ambrosia here.,CHARACTER,Zagreus,male
Don't have enough Ambrosia.,CHARACTER,Zagreus,male
I need to get my hands on more Ambrosia.,CHARACTER,Zagreus,male
Lacking Ambrosia here.,CHARACTER,Zagreus,male
I can't.,CHARACTER,Zagreus,male
Can't do that.,CHARACTER,Zagreus,male
It's no use.,CHARACTER,Zagreus,male
No use.,CHARACTER,Zagreus,male
No way.,CHARACTER,Zagreus,male
Poor me.,CHARACTER,Zagreus,male
"Well, see you around.",CHARACTER,Zagreus,male
"Well see you later, then.",CHARACTER,Zagreus,male
You take care.,CHARACTER,Zagreus,male
Until next time.,CHARACTER,Zagreus,male
Till next time.,CHARACTER,Zagreus,male
Good-bye for now.,CHARACTER,Zagreus,male
Bye for now.,CHARACTER,Zagreus,male
Nice chatting!,CHARACTER,Zagreus,male
Good chatting.,CHARACTER,Zagreus,male
See you!,CHARACTER,Zagreus,male
Cheers!,CHARACTER,Zagreus,male
Take care!,CHARACTER,Zagreus,male
"Take care, OK?",CHARACTER,Zagreus,male
All right I'm off.,CHARACTER,Zagreus,male
Good seeing you.,CHARACTER,Zagreus,male
"Well, take care.",CHARACTER,Zagreus,male
Good catching up.,CHARACTER,Zagreus,male
"Well, see you.",CHARACTER,Zagreus,male
Bye.,CHARACTER,Zagreus,male
"Bye, Dusa.",CHARACTER,Zagreus,male
"See you, Dusa.",CHARACTER,Zagreus,male
"Take care, Dusa!",CHARACTER,Zagreus,male
"See you, Hypnos.",CHARACTER,Zagreus,male
"All right, Hypnos.",CHARACTER,Zagreus,male
"Get some rest, mate.",CHARACTER,Zagreus,male
"Bye, Hypnos.",CHARACTER,Zagreus,male
"See you, Than.",CHARACTER,Zagreus,male
"See you, Thanatos.",CHARACTER,Zagreus,male
See you out there.,CHARACTER,Zagreus,male
"Thanks, sir.",CHARACTER,Zagreus,male
"Take care, sir.",CHARACTER,Zagreus,male
"Thank you, sir.",CHARACTER,Zagreus,male
"See you, boy.",CHARACTER,Zagreus,male
"Be good, boy.",CHARACTER,Zagreus,male
"Back soon, boy.",CHARACTER,Zagreus,male
"Take care, boy.",CHARACTER,Zagreus,male
"Take care, Meg.",CHARACTER,Zagreus,male
See you out there?,CHARACTER,Zagreus,male
"Nice seeing you, Meg.",CHARACTER,Zagreus,male
"See you soon, Meg.",CHARACTER,Zagreus,male
"Bye, mate.",CHARACTER,Zagreus,male
"Take care, mate.",CHARACTER,Zagreus,male
"Cheers, mate.",CHARACTER,Zagreus,male
"Beautiful, mate.",CHARACTER,Zagreus,male
"You sound amazing, mate.",CHARACTER,Zagreus,male
"Bye, Nyx.",CHARACTER,Zagreus,male
"Thank you, Nyx.",CHARACTER,Zagreus,male
"See you out there, Father.",CHARACTER,Zagreus,male
Father.,CHARACTER,Zagreus,male
"Take care, Father.",CHARACTER,Zagreus,male
See you up top.,CHARACTER,Zagreus,male
Nice chatting.,CHARACTER,Zagreus,male
Good talk.,CHARACTER,Zagreus,male
"All right, then!",CHARACTER,Zagreus,male
"Thank you, Father.",CHARACTER,Zagreus,male
"Good chat, Father!",CHARACTER,Zagreus,male
Well then!,CHARACTER,Zagreus,male
Well all right!,CHARACTER,Zagreus,male
"Come back soon, Mother.",CHARACTER,Zagreus,male
"Take care, OK?",CHARACTER,Zagreus,male
"Safe travels, Mother.",CHARACTER,Zagreus,male
We'll take care of things while you're away.,CHARACTER,Zagreus,male
"Bye, Mother.",CHARACTER,Zagreus,male
"Take care, Mother.",CHARACTER,Zagreus,male
"Love you, Mother.",CHARACTER,Zagreus,male
Let me know if you need anything.,CHARACTER,Zagreus,male
"Good to see you, Mother.",CHARACTER,Zagreus,male
"Couldn't agree more, mate.",CHARACTER,Zagreus,male
"Hello to you as well, mate!",CHARACTER,Zagreus,male
I'll just have a look around.,CHARACTER,Zagreus,male
"Fine day or night to you as well, Charon.",CHARACTER,Zagreus,male
"You're absolutely right, there, mate.",CHARACTER,Zagreus,male
"Truer words have not been spoken, mate.",CHARACTER,Zagreus,male
Couldn't have said it better myself.,CHARACTER,Zagreus,male
"Oh I'm just fine thank you for asking, mate.",CHARACTER,Zagreus,male
"It's good to see you too, mate.",CHARACTER,Zagreus,male
"Always a pleasure, Charon.",CHARACTER,Zagreus,male
Have to take care of that Butterfly Ball!,CHARACTER,Zagreus,male
Need to deal with the blasted Butterfly Ball!,CHARACTER,Zagreus,male
They'll just keep coming 'cause of that Butterfly Ball!,CHARACTER,Zagreus,male
I should deal with that Butterfly Ball!,CHARACTER,Zagreus,male
Better handle that Butterfly Ball!,CHARACTER,Zagreus,male
There's no end to these guys!,CHARACTER,Zagreus,male
There.,CHARACTER,Zagreus,male
There!,CHARACTER,Zagreus,male
Hah.,CHARACTER,Zagreus,male
T'heh.,CHARACTER,Zagreus,male
Hmph.,CHARACTER,Zagreus,male
He-heh.,CHARACTER,Zagreus,male
Heh.,CHARACTER,Zagreus,male
Got 'em.,CHARACTER,Zagreus,male
Next.,CHARACTER,Zagreus,male
Next?,CHARACTER,Zagreus,male
Tsch.,CHARACTER,Zagreus,male
Pff.,CHARACTER,Zagreus,male
Idiot.,CHARACTER,Zagreus,male
Easy.,CHARACTER,Zagreus,male
Nice try.,CHARACTER,Zagreus,male
Good night.,CHARACTER,Zagreus,male
You're dead.,CHARACTER,Zagreus,male
See you.,CHARACTER,Zagreus,male
Dead.,CHARACTER,Zagreus,male
Farewell.,CHARACTER,Zagreus,male
Die.,CHARACTER,Zagreus,male
Die!,CHARACTER,Zagreus,male
Out.,CHARACTER,Zagreus,male
Fool.,CHARACTER,Zagreus,male
Useless.,CHARACTER,Zagreus,male
What now!,CHARACTER,Zagreus,male
Like that?,CHARACTER,Zagreus,male
Suffer.,CHARACTER,Zagreus,male
You're mine.,CHARACTER,Zagreus,male
Weak.,CHARACTER,Zagreus,male
Weak!,CHARACTER,Zagreus,male
Wretch.,CHARACTER,Zagreus,male
Got you.,CHARACTER,Zagreus,male
Got you!,CHARACTER,Zagreus,male
Back.,CHARACTER,Zagreus,male
You're dust.,CHARACTER,Zagreus,male
You're gone.,CHARACTER,Zagreus,male
Worthless.,CHARACTER,Zagreus,male
Get out.,CHARACTER,Zagreus,male
Easy.,CHARACTER,Zagreus,male
Who else.,CHARACTER,Zagreus,male
Who else?,CHARACTER,Zagreus,male
What else.,CHARACTER,Zagreus,male
What else?,CHARACTER,Zagreus,male
Well?,CHARACTER,Zagreus,male
Not a chance.,CHARACTER,Zagreus,male
Stay dead.,CHARACTER,Zagreus,male
Stay dead!,CHARACTER,Zagreus,male
Stay dead next time.,CHARACTER,Zagreus,male
Out of my sight.,CHARACTER,Zagreus,male
You're done.,CHARACTER,Zagreus,male
You're done!,CHARACTER,Zagreus,male
Pop.,CHARACTER,Zagreus,male
Don't come back.,CHARACTER,Zagreus,male
And don't come back!,CHARACTER,Zagreus,male
Bye now.,CHARACTER,Zagreus,male
Pest.,CHARACTER,Zagreus,male
Out.,CHARACTER,Zagreus,male
Back.,CHARACTER,Zagreus,male
Burn.,CHARACTER,Zagreus,male
Hah.,CHARACTER,Zagreus,male
Heh!,CHARACTER,Zagreus,male
Hmph.,CHARACTER,Zagreus,male
He-heh.,CHARACTER,Zagreus,male
Hm-hm.,CHARACTER,Zagreus,male
No you don't.,CHARACTER,Zagreus,male
No.,CHARACTER,Zagreus,male
Really?,CHARACTER,Zagreus,male
Rot.,CHARACTER,Zagreus,male
Give it up.,CHARACTER,Zagreus,male
I think not.,CHARACTER,Zagreus,male
Vermin.,CHARACTER,Zagreus,male
Die again.,CHARACTER,DROPPED_Zagreus,droppedMale
OK.,CHARACTER,Zagreus,male
Dead.,CHARACTER,Zagreus,male
Dead!,CHARACTER,Zagreus,male
Got them.,CHARACTER,Zagreus,male
No.,CHARACTER,Zagreus,male
"Heh, no.",CHARACTER,Zagreus,male
Uh-uh.,CHARACTER,Zagreus,male
How's that?,CHARACTER,Zagreus,male
No chance.,CHARACTER,Zagreus,male
Dust.,CHARACTER,Zagreus,male
Bye.,CHARACTER,Zagreus,male
'Night.,CHARACTER,Zagreus,male
Khh.,CHARACTER,Zagreus,male
Hm-hm.,CHARACTER,Zagreus,male
<Scoff>,CHARACTER,Zagreus,male
Lights out.,CHARACTER,Zagreus,male
Pah!,CHARACTER,Zagreus,male
Out!,CHARACTER,Zagreus,male
What.,CHARACTER,Zagreus,male
Mine.,CHARACTER,Zagreus,male
Gone.,CHARACTER,Zagreus,male
Nice.,CHARACTER,Zagreus,male
Who's next.,CHARACTER,Zagreus,male
Good.,CHARACTER,Zagreus,male
More...,CHARACTER,Zagreus,male
Shot.,CHARACTER,Zagreus,male
Pow.,CHARACTER,Zagreus,male
Right.,CHARACTER,Zagreus,male
Get dead.,CHARACTER,Zagreus,male
You're gone.,CHARACTER,Zagreus,male
Elimination.,CHARACTER,Chaos,genderless
Returned to the abyss.,CHARACTER,Chaos,genderless
Inevitable.,CHARACTER,Chaos,genderless
Yes.,CHARACTER,Chaos,genderless
Destruction.,CHARACTER,Chaos,genderless
Devastation.,CHARACTER,Chaos,genderless
Annihilation.,CHARACTER,Chaos,genderless
Eradication.,CHARACTER,Chaos,genderless
Elimination.,CHARACTER,Chaos,genderless
Extinction.,CHARACTER,Chaos,genderless
Entropy.,CHARACTER,Chaos,genderless
Death.,CHARACTER,Chaos,genderless
Combustion.,CHARACTER,Chaos,genderless
Purification.,CHARACTER,Chaos,genderless
Dissolution.,CHARACTER,Chaos,genderless
Extermination.,CHARACTER,Chaos,genderless
Ruination.,CHARACTER,Chaos,genderless
Impressive.,CHARACTER,Chaos,genderless
<Laughter>,CHARACTER,Chaos,genderless
<Laughter>,CHARACTER,Chaos,genderless
<Laughter>,CHARACTER,Chaos,genderless
Amusing.,CHARACTER,Chaos,genderless
Ooh nice one!,CHARACTER,Dusa,female
Wow!,CHARACTER,Dusa,female
Whoo!,CHARACTER,Dusa,female
"Hoh, wow!",CHARACTER,Dusa,female
"Hoo, wow!",CHARACTER,Dusa,female
Look at you!!,CHARACTER,Dusa,female
"Ooh, ouch!",CHARACTER,Dusa,female
Whoa!,CHARACTER,Dusa,female
Ooh!,CHARACTER,Dusa,female
Ouch!,CHARACTER,Dusa,female
Nice shot!,CHARACTER,Dusa,female
Wow look at you!,CHARACTER,Dusa,female
That's for last time.,CHARACTER,Zagreus,male
That was for last time.,CHARACTER,Zagreus,male
I always come back.,CHARACTER,Zagreus,male
That's what you get.,CHARACTER,Zagreus,male
Payback.,CHARACTER,Zagreus,male
Got you back.,CHARACTER,Zagreus,male
"You kill me, I kill you.",CHARACTER,Zagreus,male
Let's call it even.,CHARACTER,Zagreus,male
Heads up.,CHARACTER,Zagreus,male
That's what you get.,CHARACTER,Zagreus,male
You're nothing.,CHARACTER,Zagreus,male
Back to dust.,CHARACTER,Zagreus,male
Crushed.,CHARACTER,Zagreus,male
I am most grateful.,CHARACTER,Zeus,male
"Why, I am honored!",CHARACTER,Zeus,male
This pleases me.,CHARACTER,Zeus,male
"Thanks to you, young man.",CHARACTER,Zeus,male
"I shall remember this, Nephew.",CHARACTER,Zeus,male
"Bless you, Zagreus.",CHARACTER,Zeus,male
How very kind of you.,CHARACTER,Zeus,male
"Wisely decided, there, young man!",CHARACTER,Zeus,male
"Now wasn't that a simple test, Nephew?",CHARACTER,Zeus,male
Oh I feel very proud!,CHARACTER,Zeus,male
Not the hardest choice you've ever made!,CHARACTER,Zeus,male
"Congratulations, you made the right choice!",CHARACTER,Zeus,male
"Ah, young man, you hurt somebody's feelings!",CHARACTER,Zeus,male
"I'm ever-grateful, Nephew!",CHARACTER,Poseidon,male
My thanks are just as boundless as the sea!,CHARACTER,DROPPED_Poseidon,droppedMale
I very much appreciated that!,CHARACTER,Poseidon,male
"You honor your Lord Uncle, little Nephew!",CHARACTER,DROPPED_Poseidon,droppedMale
"I'm proud to call you nephew, little Nephew!",CHARACTER,DROPPED_Poseidon,droppedMale
That's mighty generous of you!,CHARACTER,DROPPED_Poseidon,droppedMale
I'm thankful for the gesture there!,CHARACTER,Poseidon,male
"Haha, just as I thought!",CHARACTER,Poseidon,male
"No choice at all, correct?!",CHARACTER,Poseidon,male
A good decision there!,CHARACTER,Poseidon,male
"Ah, hahaha, yes!",CHARACTER,Poseidon,male
"Well chosen, little Hades!",CHARACTER,Poseidon,male
